,Unnamed: 0,timestamp,open,high,low,close,volume,ichimoku_a,ichimoku_b,ichimoku_conversion_line,ichimoku_base_line,ichimoku_lagging_span
1,1.0,1636750800000,64119.43,64502.79,63948.74,64070.56,1146.10277,,64225.765,,,64070.56
2,2.0,1636754400000,64070.56,64195.98,63704.8,63914.33,764.18064,,64103.795,,,63914.33
3,3.0,1636758000000,63914.34,64367.72,63822.11,64122.23,884.66354,,64103.795,,,64122.23
4,4.0,1636761600000,64122.22,64455.0,64115.41,64348.69,846.03331,,64103.795,,,64348.69
5,5.0,1636765200000,64348.7,64412.94,63806.82,63846.58,942.5714,,64103.795,,,63846.58
6,6.0,1636768800000,63846.57,64017.32,63576.1,63702.78,838.44027,,64039.445,,,63702.78
7,7.0,1636772400000,63702.78,63880.0,63600.0,63773.94,659.86764,,64039.445,,,63773.94
8,8.0,1636776000000,63773.93,63922.99,63555.0,63704.67,694.29456,,64028.895000000004,,,63704.67
9,9.0,1636779600000,63704.66,63846.93,63510.0,63597.54,640.36123,,64006.395000000004,64006.395000000004,,63597.54
10,10.0,1636783200000,63597.54,63866.76,63581.34,63844.16,686.09782,,64006.395000000004,63982.5,,63844.16
11,11.0,1636786800000,63844.16,64123.0,63700.92,64029.99,781.9308,,64006.395000000004,63982.5,,64029.99
12,12.0,1636790400000,64029.99,64081.5,63738.18,63807.29,655.04407,,64006.395000000004,63982.5,,63807.29
13,13.0,1636794000000,63807.28,63883.53,63360.22,63453.16,1354.30489,,63931.505000000005,63886.58,,63453.16
14,14.0,1636797600000,63453.17,63737.81,63373.34,63707.03,751.26069,,63931.505000000005,63741.61,,63707.03
15,15.0,1636801200000,63707.03,63807.91,63502.26,63554.23,688.7827,,63931.505000000005,63741.61,,63554.23
16,16.0,1636804800000,63554.23,63811.71,63427.86,63530.26,982.02587,,63931.505000000005,63741.61,,63530.26
17,17.0,1636808400000,63530.26,63750.0,63462.0,63594.82,909.36653,,63931.505000000005,63741.61,,63594.82
18,18.0,1636812000000,63594.83,64843.0,63543.23,64725.78,3121.44962,,64101.61,64101.61,,64725.78
19,19.0,1636815600000,64725.77,64790.5,64523.76,64688.99,1030.99168,,64101.61,64101.61,,64688.99
20,20.0,1636819200000,64689.0,65000.0,64600.0,64616.64,1718.24918,,64180.11,64180.11,,64616.64
21,21.0,1636822800000,64616.65,64692.16,64500.0,64659.02,728.22041,,64180.11,64180.11,,64659.02
22,22.0,1636826400000,64659.03,64689.82,63920.0,64134.69,1438.77451,,64180.11,64186.67,,64134.69
23,23.0,1636830000000,64134.68,64200.0,63829.01,63941.65,781.2445,,64180.11,64213.93,,63941.65
24,24.0,1636833600000,63941.65,64438.81,63918.89,64359.29,629.17701,,64180.11,64213.93,,64359.29
25,25.0,1636837200000,64359.3,64391.43,64113.0,64365.82,580.99379,,64180.11,64231.0,,64365.82
26,26.0,1636840800000,64365.82,64418.97,64116.0,64275.24,572.08908,64225.8625,64180.11,64271.615000000005,64180.11,64275.24
27,27.0,1636844400000,64275.24,64550.5,64220.7,64380.0,473.40227,64297.3075,64180.11,64414.505000000005,64180.11,64380.0
28,28.0,1636848000000,64380.01,65320.0,64380.0,64974.06,2003.82749,64457.3075,64340.11,64574.505000000005,64340.11,64974.06
29,29.0,1636851600000,64974.05,65079.99,64616.17,64789.04,807.45372,64457.3075,64340.11,64574.505000000005,64340.11,64789.04
30,30.0,1636855200000,64789.04,64925.07,64611.11,64629.99,639.41547,64457.3075,64340.11,64574.505000000005,64340.11,64629.99
31,31.0,1636858800000,64629.98,64838.6,64530.61,64637.81,733.63741,64457.3075,64340.11,64574.505000000005,64340.11,64637.81
32,32.0,1636862400000,64637.81,65014.79,64636.79,64748.66,650.54381,64479.7775,64340.11,64619.445,64340.11,64748.66
33,33.0,1636866000000,64748.65,65046.52,64400.0,64898.4,1038.73314,64528.305,64340.11,64716.5,64340.11,64898.4
34,34.0,1636869600000,64898.39,65201.72,64700.0,64800.01,989.53371,64529.055,64340.11,64718.0,64340.11,64800.01
35,35.0,1636873200000,64800.01,64887.42,64439.73,64627.58,999.35912,64555.229999999996,64340.11,64770.35,64340.11,64627.58
36,36.0,1636876800000,64627.58,64800.0,64056.0,64301.7,1272.25739,64514.055,64340.11,64688.0,64340.11,64301.7
37,37.0,1636880400000,64301.7,64400.15,64100.0,64251.49,813.42171,64484.485,64340.11,64628.86,64340.11,64251.49
38,38.0,1636884000000,64251.49,64500.0,64186.23,64380.11,762.60173,64484.485,64340.11,64628.86,64340.11,64380.11
39,39.0,1636887600000,64380.11,64478.69,64162.48,64445.07,776.88486,64487.765,64340.11,64628.86,64346.67,64445.07
40,40.0,1636891200000,64445.07,64758.76,64235.84,64600.52,892.72065,64501.395000000004,64340.11,64628.86,64373.93,64600.52
41,41.0,1636894800000,64600.51,64799.0,64499.9,64630.66,856.55006,64501.395000000004,64340.11,64628.86,64373.93,64630.66
42,42.0,1636898400000,64630.66,64662.66,64148.27,64354.39,1031.53443,64509.93,64340.11,64628.86,64391.0,64354.39
43,43.0,1636902000000,64354.39,64354.39,64000.0,64070.41,924.99579,64437.662500000006,64340.11,64443.71,64431.615000000005,64070.41
44,44.0,1636905600000,64070.41,64211.0,63576.27,63705.58,1772.9945,64318.134999999995,64340.11,64188.134999999995,64448.134999999995,63705.58
45,45.0,1636909200000,63705.58,64240.0,63601.81,64192.28,1246.64911,64317.884999999995,64340.11,64187.634999999995,64448.134999999995,64192.28
46,46.0,1636912800000,64188.62,64422.35,63830.0,64028.34,961.11469,64317.884999999995,64340.11,64187.634999999995,64448.134999999995,64028.34
47,47.0,1636916400000,64028.34,64209.07,63872.46,64170.0,895.51018,64317.884999999995,64340.11,64187.634999999995,64448.134999999995,64170.0
48,48.0,1636920000000,64169.99,64500.0,64040.47,64221.78,993.10978,64317.884999999995,64340.11,64187.634999999995,64448.134999999995,64221.78
49,49.0,1636923600000,64221.78,64500.0,64050.0,64308.59,780.83326,64317.884999999995,64340.11,64187.634999999995,64448.134999999995,64308.59
50,50.0,1636927200000,64308.58,64900.0,64284.79,64520.0,1044.8013,64343.134999999995,64340.11,64238.134999999995,64448.134999999995,64520.0
51,51.0,1636930800000,64520.01,65550.51,64341.77,65519.1,2816.59016,64563.39,64455.365,64563.39,64563.39,65519.1
52,52.0,1636934400000,65519.11,66200.0,65519.1,65875.17,4092.34168,64888.134999999995,64780.11,64888.134999999995,64888.134999999995,65875.17
53,53.0,1636938000000,65875.18,65948.0,65535.0,65896.22,1606.24838,64894.52,64780.11,64900.905,64888.134999999995,65896.22
54,54.0,1636941600000,65896.23,65942.76,65646.61,65677.44,1076.91135,64951.5675,64780.11,65015.0,64888.134999999995,65677.44
55,55.0,1636945200000,65677.45,65995.0,65600.0,65712.65,950.19905,64962.182499999995,64780.11,65036.229999999996,64888.134999999995,65712.65
56,56.0,1636948800000,65712.66,66000.0,65698.01,65766.41,1099.06219,65004.185,64780.11,65120.235,64888.134999999995,65766.41
57,57.0,1636952400000,65766.41,65913.86,65666.42,65696.49,709.98983,65006.5675,64780.11,65125.0,64888.134999999995,65696.49
58,58.0,1636956000000,65696.5,65834.0,65610.0,65666.01,682.52593,65065.265,64780.11,65242.395000000004,64888.134999999995,65666.01
59,59.0,1636959600000,65666.0,65738.04,65475.01,65579.71,814.90438,65079.509999999995,64780.11,65270.884999999995,64888.134999999995,65579.71
60,60.0,1636963200000,65579.71,65835.0,65244.47,65735.32,1620.09103,65305.185,64780.11,65722.235,64888.134999999995,65735.32
61,61.0,1636966800000,65735.33,66401.82,65663.47,65975.13,1884.02134,65406.095,64881.020000000004,65823.145,64989.045,65975.13
62,62.0,1636970400000,65975.13,66045.0,65726.92,65921.36,888.26185,65406.095,64881.020000000004,65823.145,64989.045,65921.36
63,63.0,1636974000000,65920.0,65948.83,65624.15,65733.06,935.5819,65406.095,64881.020000000004,65823.145,64989.045,65733.06
64,64.0,1636977600000,65734.45,65946.63,65537.99,65663.19,1525.18476,65406.095,64881.020000000004,65823.145,64989.045,65663.19
65,65.0,1636981200000,65663.19,65760.0,65349.0,65489.09,2098.28965,65406.095,64887.58,65823.145,64989.045,65489.09
66,66.0,1636984800000,65489.09,65493.2,64770.0,64851.0,2074.83406,65287.4775,64914.840000000004,65585.91,64989.045,64851.0
67,67.0,1636988400000,64851.0,64899.4,63993.17,64288.16,3983.29447,65093.270000000004,64914.840000000004,65197.495,64989.045,64288.16
68,68.0,1636992000000,64288.16,64444.18,63900.0,64275.7,2423.38125,65069.9775,64931.91,65150.91,64989.045,64275.7
69,69.0,1636995600000,64273.15,64444.61,64006.34,64036.99,1550.72297,65069.9775,64972.52500000001,65150.91,64989.045,64036.99
70,70.0,1636999200000,64037.0,64182.25,63624.54,63812.79,1618.35413,64918.2925,64989.045,64834.770000000004,65001.815,63812.79
71,71.0,1637002800000,63812.79,64320.33,63650.54,64265.9,1389.79013,64899.9325,64989.045,64786.685,65013.18000000001,64265.9
72,72.0,1637006400000,64265.91,64265.91,63766.89,63903.43,1274.25829,64899.38250000001,64989.045,64785.58500000001,65013.18000000001,63903.43
73,73.0,1637010000000,63903.43,64012.29,63400.0,63878.3,1504.12178,64740.455,64900.91,64580.0,64900.91,63878.3
74,74.0,1637013600000,63880.41,64025.48,63411.38,63989.25,1133.77844,64673.755000000005,64900.91,64446.6,64900.91,63989.25
75,75.0,1637017200000,63989.24,63998.69,63500.0,63606.74,893.2224,64525.305,64900.91,64149.7,64900.91,63606.74
76,76.0,1637020800000,63606.73,63617.31,62462.91,62540.03,4765.151,63943.0625,64432.365000000005,63453.76,64432.365000000005,62540.03
